,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,HDFC.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-02,,20.064056396484375,38.075523376464844,9.831135749816895,37.28094482421875,,,23.485000610351562,55.64140701293945,15.525554656982422,46.96712112426758,,,23.649999618530273,56.71875,15.787776947021484,47.0754280090332,,,23.325000762939453,55.232810974121094,15.468888282775879,46.49520492553711,,,23.579999923706055,55.74531173706055,15.706665992736816,46.49520492553711,,,1123070,37710784,10043820.0,9707066.0,
2002-04-03,,19.517288208007812,37.6419563293457,9.69041919708252,36.715999603271484,,,22.844999313354492,55.0078125,15.303333282470703,46.2553825378418,,,23.389999389648438,55.46875,15.510000228881836,46.9516487121582,,,22.440000534057617,54.61796951293945,15.24555492401123,46.03876495361328,,,23.30500030517578,55.0,15.444443702697754,46.9516487121582,,,1283570,28006400,6693075.0,6812526.0,
2002-04-04,,19.231081008911133,39.03194046020508,9.667201042175293,37.50200653076172,,,22.510000228881836,57.0390625,15.266666412353516,47.245628356933594,,,23.200000762939453,57.421875,15.51111125946045,49.49689483642578,,,22.46500015258789,54.87890625,15.214444160461426,46.49520492553711,,,22.850000381469727,54.87890625,15.51111125946045,46.49520492553711,,,659120,39785664,4863465.0,63835106.0,
2002-04-05,,19.209726333618164,38.806331634521484,9.463164329528809,37.54499816894531,,,22.485000610351562,56.709373474121094,14.944443702697754,47.299781799316406,,,23.875,58.015625,15.333333015441895,48.11983108520508,,,22.415000915527344,56.328125,14.883333206176758,47.19147491455078,,,23.875,57.40625,15.222222328186035,47.38488006591797,,,500420,25505152,13230945.0,21476234.0,
2002-04-08,,19.231081008911133,38.74913787841797,9.114890098571777,37.21339797973633,,,22.510000228881836,56.62578201293945,14.394444465637207,46.882022857666016,,,22.850000381469727,57.8125,15.038887977600098,47.68659591674805,,,22.450000762939453,56.44062423706055,14.355554580688477,46.73503112792969,,,22.850000381469727,57.015625,14.95777702331543,47.539608001708984,,,238280,23750016,34541910.0,11127246.0,
2002-04-09,,19.312238693237305,38.4930534362793,8.8130521774292,36.863365173339844,,,22.604999542236328,56.25156021118164,13.917777061462402,46.4410514831543,,,22.799999237060547,56.78125,14.374444007873535,47.05995559692383,,,22.524999618530273,54.890625,13.827776908874512,46.294063568115234,,,22.649999618530273,56.375,14.374444007873535,46.95938491821289,,,220230,38507264,41315265.0,9133466.0,
2002-04-10,,19.389135360717773,40.400543212890625,8.811646461486816,36.38437271118164,,,22.69499969482422,59.0390625,13.915555000305176,45.83761978149414,,,23.0,59.359375,14.284443855285645,46.75823974609375,,,22.475000381469727,55.56796646118164,13.800000190734863,45.55137634277344,,,22.875,56.5625,14.066665649414062,46.417842864990234,,,161440,59726784,32468580.0,17253910.0,
2002-04-11,,19.132831573486328,41.51039505004883,8.893261909484863,36.42121887207031,,,22.395000457763672,60.66093826293945,14.04444408416748,45.884037017822266,,,22.649999618530273,60.935935974121094,14.186665534973145,46.48746871948242,,,22.280000686645508,59.40937423706055,13.888888359069824,45.69063186645508,,,22.6200008392334,59.78125,14.0,46.13159942626953,,,2012940,50717504,28000170.0,5220190.0,
2002-04-12,,19.068761825561523,41.67399215698242,9.119112968444824,36.63001251220703,,,22.31999969482422,60.900001525878906,14.401110649108887,46.147071838378906,,,22.399999618530273,61.703125,14.487776756286621,46.386898040771484,,,22.239999771118164,59.424217224121094,14.04444408416748,45.729312896728516,,,22.399999618530273,59.96406173706055,14.04444408416748,45.93045425415039,,,352850,33804032,18751995.0,6607041.0,
2002-04-15,,18.923519134521484,40.738948822021484,9.061417579650879,36.16331481933594,,,22.149999618530273,59.533592224121094,14.3100004196167,45.559112548828125,,,22.899999618530273,60.9375,14.532221794128418,46.39463424682617,,,22.059999465942383,59.375,14.14222240447998,45.388912200927734,,,22.700000762939453,60.9375,14.399999618530273,46.10839080810547,,,2815170,23741376,14424795.0,4188548.0,
2002-04-16,,19.132831573486328,40.76194763183594,8.960103034973145,35.50010681152344,,,22.395000457763672,59.56718826293945,14.149999618530273,44.72359085083008,,,23.0,59.984375,14.533332824707031,45.698368072509766,,,22.010000228881836,58.828125,14.027776718139648,44.46055603027344,,,22.5,59.359375,14.44333267211914,45.48948669433594,,,775200,24408512,16116120.0,9746045.0,
